"","montant","municipalite","numero","habitants","montantparhabitant","date"
"269","342","Soest","13","46194","28.1","19 maart 2020"
"270","847","Someren","3","19322","15.5","19 maart 2020"
"271","848","Son en Breugel","5","16904","29.6","19 maart 2020"
"272","37","Stadskanaal","0","31789","0","19 maart 2020"
"273","180","Staphorst","2","17003","11.8","19 maart 2020"
"274","532","Stede Broec","3","21706","13.8","19 maart 2020"
"275","851","Steenbergen","4","25054","16","19 maart 2020"
"276","1708","Steenwijkerland","1","43940","2.3","19 maart 2020"
"277","971","Stein","4","24961","16","19 maart 2020"
"278","1904","Stichtse Vecht","10","64336","15.5","19 maart 2020"
"279","1900","Súdwest-Fryslân","2","89710","2.2","19 maart 2020"
"280","715","Terneuzen","4","54589","7.3","19 maart 2020"
"281","93","Terschelling","0","4890","0","19 maart 2020"
"282","448","Texel","2","13547","14.8","19 maart 2020"
"283","1525","Teylingen","2","37061","5.4","19 maart 2020"
"284","716","Tholen","2","25780","7.8","19 maart 2020"
"285","281","Tiel","4","41978","9.5","19 maart 2020"
"286","855","Tilburg","119","217259","54.8","19 maart 2020"
"287","183","Tubbergen","3","21276","14.1","19 maart 2020"
"288","1700","Twenterand","0","33792","0","19 maart 2020"
"289","1730","Tynaarlo","4","33698","11.9","19 maart 2020"
"290","737","Tytsjerksteradiel","1","31780","3.1","19 maart 2020"
"291","856","Uden","60","41782","143.6","19 maart 2020"
"292","450","Uitgeest","0","13528","0","19 maart 2020"
"293","451","Uithoorn","2","29424","6.8","19 maart 2020"
"294","184","Urk","4","20776","19.3","19 maart 2020"
"295","344","Utrecht","83","352866","23.5","19 maart 2020"
"296","1581","Utrechtse Heuvelrug","8","49515","16.2","19 maart 2020"
"297","981","Vaals","0","10092","0","19 maart 2020"
"298","994","Valkenburg aan de Geul","2","16470","12.1","19 maart 2020"
"299","858","Valkenswaard","1","30910","3.2","19 maart 2020"
"300","47","Veendam","0","27491","0","19 maart 2020"
"301","345","Veenendaal","2","65589","3","19 maart 2020"
"302","717","Veere","1","21835","4.6","19 maart 2020"
"303","861","Veldhoven","2","45337","4.4","19 maart 2020"
"304","453","Velsen","4","68348","5.9","19 maart 2020"
"305","983","Venlo","21","101603","20.7","19 maart 2020"
"306","984","Venray","3","43326","6.9","19 maart 2020"
"307","1961","Vijfheerenlanden","7","55712","12.6","19 maart 2020"
"308","622","Vlaardingen","4","72404","5.5","19 maart 2020"
"309","96","Vlieland","0","1138","0","19 maart 2020"
"310","718","Vlissingen","5","44371","11.3","19 maart 2020"
"311","986","Voerendaal","3","12452","24.1","19 maart 2020"
"312","626","Voorschoten","1","25479","3.9","19 maart 2020"
"313","285","Voorst","1","24417","4.1","19 maart 2020"
