Cases/10000Habitants,Cases,Municipality,Gemnr,Habitants,Number of Records,Date
0,0,Zuidplas,"1,892",42762,1,04/03/2020
0,0,Zundert,879,21612,1,04/03/2020
0,0,Zutphen,301,47609,1,04/03/2020
0,0,Zwartewaterland,"1,896",22503,1,04/03/2020
0,0,Zwijndrecht,642,44639,1,04/03/2020
0,0,Zwolle,193,127497,1,04/03/2020
,37,null,,,1,04/03/2020
,5,onbekend,,,1,05/03/2020
0,0,Aa en Hunze,"1,68",25386,1,05/03/2020
0,0,Aalsmeer,358,31728,1,05/03/2020
0,0,Aalten,197,27011,1,05/03/2020
0,0,Achtkarspelen,59,27852,1,05/03/2020
0,0,Alblasserdam,482,20069,1,05/03/2020
0,0,Albrandswaard,613,25271,1,05/03/2020
0,0,Alkmaar,361,108558,1,05/03/2020
0,0,Almelo,141,72849,1,05/03/2020
0,0,Almere,34,207904,1,05/03/2020
"0,090101454",1,Alphen aan den Rijn,484,110986,1,05/03/2020
0,0,Alphen-Chaam,"1,723",10149,1,05/03/2020
"0,722204167",4,Altena,"1,959",55386,1,05/03/2020
0,0,Ameland,60,3673,1,05/03/2020
0,0,Amersfoort,307,156286,1,05/03/2020
0,0,Amstelveen,362,90838,1,05/03/2020
"0,023175911",2,Amsterdam,363,862965,1,05/03/2020
0,0,Apeldoorn,200,162445,1,05/03/2020
0,0,Appingedam,3,11721,1,05/03/2020
0,0,Arnhem,202,159265,1,05/03/2020
0,0,Assen,106,67963,1,05/03/2020
0,0,Asten,743,16710,1,05/03/2020
0,0,Baarle-Nassau,744,6847,1,05/03/2020
0,0,Baarn,308,24767,1,05/03/2020
0,0,Barendrecht,489,48673,1,05/03/2020
0,0,Barneveld,203,57971,1,05/03/2020
0,0,Beek,888,15929,1,05/03/2020
0,0,Beekdaelen,"1,954",35727,1,05/03/2020
0,0,Beemster,370,9748,1,05/03/2020
0,0,Beesel,889,13519,1,05/03/2020
0,0,Berg en Dal,"1,945",34798,1,05/03/2020
0,0,Bergeijk,"1,724",18491,1,05/03/2020
0,0,Bergen (L),893,13140,1,05/03/2020
0,0,Bergen (NH),373,29974,1,05/03/2020
